Region,Country,Population
Eastern Europe,Albania,2877797
Western Europe,Andorra,77265
Caucasus,Armenia,2963243
Western Europe,Austria,8917205
Caucasus,Azerbaijan,10139177
Eastern Europe,Belarus,9449323
Western Europe,Belgium,11589623
Southeastern Europe,Bosnia and Herzegovina,3280819
Eastern Europe,Bulgaria,6951482
Southeastern Europe,Croatia,4105267
Southern Europe,Cyprus,1207361
Eastern Europe,Czech Republic,10708981
Northern Europe,Denmark,5818550
Northern Europe,Estonia,1326535
Northern Europe,Finland,5540720
Western Europe,France,65273511
Caucasus,Georgia,3989167
Western Europe,Germany,83783942
Southern Europe,Greece,10423054
Eastern Europe,Hungary,9660351
Northern Europe,Iceland,343360
Northern Europe,Ireland,4937786
Southern Europe,Italy,60461826
Central Asia,Kazakhstan,18776707
Southeastern Europe,Kosovo,1810463
Northern Europe,Latvia,1886198
Western Europe,Liechtenstein,38128
Northern Europe,Lithuania,2722289
Western Europe,Luxembourg,625978
Southern Europe,Malta,441543
Eastern Europe,Moldova,4033963
Western Europe,Monaco,39242
Southeastern Europe,Montenegro,628066
Western Europe,Netherlands,17134872
Southeastern Europe,North Macedonia,2083374
Northern Europe,Norway,5421241
Eastern Europe,Poland,37846611
Southern Europe,Portugal,10231739
Eastern Europe,Romania,19237691
Eastern Europe,Russia,145934462
Southern Europe,San Marino,33931
Southeastern Europe,Serbia,8737371
Eastern Europe,Slovakia,5459642
Southern Europe,Slovenia,2078938
Southern Europe,Spain,46754778
Northern Europe,Sweden,10099265
Western Europe,Switzerland,8654622
Western Asia,Turkey,84339067
Eastern Europe,Ukraine,43733762
Western Europe,United Kingdom,67886011
Southern Europe,Vatican City,801
